Rank,Site,Total visits,Charge /free,In/ outdoor,% +/-,Area,Group,Note
35,Anglesey Abbey Gardens and Lode Mill,"305,984",F/C,Mix,-23%,Eng excl Lon,NT,
36,Beamish,"305,000",C,Mix,-62%,Eng excl Lon,,
37,Scottish National Gallery,"304,237",F,I,-81%,Scotland,NGS,
38,Royal Albert Hall,"299,059",C,I,-83%,London,,
39,RHS Garden Harlow Carr,"296,043",F/C,O,-34%,Eng excl Lon,RHS,
40,Polesden Lacey,"294,311",F/C,Mix,-27%,Eng excl Lon,NT,
41,Chatsworth,"291,826",C,Mix,-52%,Eng excl Lon,THE,
42,Fountains Abbey and Studley Royal Water Garden,"287,900",F/C,O,-30%,Eng excl Lon,NT,
43,IWM London,"278,797",F,I,-74%,London,IWM,
44,Edinburgh Castle,"276,950",C,Mix,-87%,Scotland,HES,
45,RHS Garden Hyde Hall,"276,003",F/C,O,-23%,Eng excl Lon,RHS,
46,World Museum,"271,058",F,I,-60%,Eng excl Lon,NML,
47,Belton House,"264,043",F/C,Mix,-43%,Eng excl Lon,NT,
48,Kingston Lacy,"263,303",F/C,Mix,-36%,Eng excl Lon,NT,
49,Waddesdon Manor,"262,849",F/C,Mix,-43%,Eng excl Lon,NT,
50,St Paul's Cathedral,"260,622",F/C,I,-85%,London,,
51,Kelvingrove Museum,"259,978",F,I,-86%,Scotland,GM,
52,Stourhead,"259,936",F/C,Mix,-34%,Eng excl Lon,NT,
53,Sheffield Park and Garden,"255,868",F/C,O,-13%,Eng excl Lon,NT,
54,Riverside Museum,"246,933",F,I,-82%,Scotland,GM,
55,Nymans,"243,364",F/C,Mix,-36%,Eng excl Lon,NT,
56,Leeds Castle,"240,293",C,Mix,-55%,Eng excl Lon,THE,
57,Ashmolean Museum of Art and Archaeology,"239,134",F/C,I,-74%,Eng excl Lon,OUM,
58,Lotherton,"230,763",C,Mix,-34%,Eng excl Lon,LMG,
59,Wimpole Estate,"230,657",F/C,Mix,-31%,Eng excl Lon,NT,
60,Hampton Court Palace,"227,447",C,Mix,-79%,London,HRP,
61,National Railway Museum,"222,435",F,I,-69%,Eng excl Lon,SMG,
62,Bodleian Libraries,"221,953",F,I,-77%,Eng excl Lon,OUM,b
63,Westminster Abbey,"221,772",F/C,I,-86%,London,,
64,Tyntesfield,"215,329",F/C,Mix,-40%,Eng excl Lon,NT,
65,Stowe,"215,120",F/C,O,-7%,Eng excl Lon,NT,
66,Museum of Liverpool,"214,995",F,I,-78%,Eng excl Lon,NML,
67,Mottisfont,"208,021",F/C,Mix,-47%,Eng excl Lon,NT,
68,Ickworth,"205,183",F/C,Mix,-28%,Eng excl Lon,NT,
69,UK Parliament,"203,000",F/C,I,-81%,London,,a
70,Old Royal Naval College,"201,554",F/C,Mix,-84%,London,,
71,Museum of London,"198,788",F,I,-72%,London,MOL,
72,Gibside,"198,546",F/C,O,-36%,Eng excl Lon,NT,
73,Cambridge University Botanic Garden,"193,490",C,O,-44%,Eng excl Lon,UoCM,
74,The Royal Shakespeare Theatre and Swan Theatre,"193,286",F/C,I,-80%,Eng excl Lon,,a
75,RAF Museum London,"188,227",F,I,-62%,London,RAF,
76,The Royal Opera House Covent Garden,"187,365",F/C,I,-83%,London,,
77,Croome,"183,810",F/C,Mix,-37%,Eng excl Lon,NT,
78,National Museum Royal Navy,"183,061",F/C,Mix,-79%,Eng excl Lon,,
79,Culloden Visitor Centre,"182,496",F/C,Mix,-13%,Scotland,NTS,
80,Merseyside Maritime Museum,"177,849",F,I,-79%,Eng excl Lon,NML,
81,Shugborough Estate,"177,839",F/C,Mix,-28%,Eng excl Lon,NT,
82,Quarry Bank,"174,909",F/C,Mix,-39%,Eng excl Lon,NT,
83,Castle Howard,"168,445",C,Mix,-37%,Eng excl Lon,THE,
84,Tower Bridge,"167,247",C,I,-81%,London,CLC,
85,Oxford University Museum of Natural History,"167,184",F,I,-79%,Eng excl Lon,OUM,
86,Wallington,"163,529",F/C,Mix,-35%,Eng excl Lon,NT,
87,Glenfinnan Monument,"162,536",C,O,-65%,Scotland,NTS,
88,Dyrham Park,"162,415",F/C,Mix,-43%,Eng excl Lon,NT,
89,RHS Garden Rosemoor,"161,514",F/C,O,-37%,Eng excl Lon,RHS,
90,Titanic Belfast,"159,044",F/C,I,-81%,Northern Ireland,,
91,Tate Liverpool,"158,692",F/C,I,-76%,Eng excl Lon,TATE,
92,Charlecote Park,"156,766",F/C,Mix,-37%,Eng excl Lon,NT,
93,WWT Slimbridge,"156,649",C,O,-40%,Eng excl Lon,WWT,
94,Mount Stewart,"155,928",F/C,Mix,-35%,Northern Ireland,NT,
95,Hardwick,"155,913",F/C,Mix,-48%,Eng excl Lon,NT,
96,Chartwell,"152,902",F/C,Mix,-40%,Eng excl Lon,NT,
97,Durham Cathedral,"150,684",F,I,-79%,Eng excl Lon,,
98,Kedleston,"150,677",F/C,Mix,-29%,Eng excl Lon,NT,
99,The Vyne,"149,259",F/C,Mix,-32%,Eng excl Lon,NT,
100,Museum of Science and Industry,"148,313",F,I,-73%,Eng excl Lon,SMG,
101,Scottish National Gallery of Modern Art,"148,204",F/C,I,-71%,Scotland,NGS,
102,York Minster,"147,439",F/C,I,-79%,Eng excl Lon,,
103,RAF Museum Cosford,"144,809",F,I,-64%,Eng excl Lon,RAF,
104,The Wallace Collection,"144,105",F/C,I,-70%,London,,
105,Baddesley Clinton,"143,914",F/C,Mix,-39%,Eng excl Lon,NT,
106,Hanbury Hall and Gardens,"142,974",F/C,Mix,-37%,Eng excl Lon,NT,
107,Beaulieu,"142,542",C,Mix,-56%,Eng excl Lon,THE,
108,Cragside,"141,226",F/C,Mix,-45%,Eng excl Lon,NT,
109,Blickling,"140,534",F/C,Mix,-38%,Eng excl Lon,NT,
110,Giants Causeway,"139,920",F/C,Mix,-86%,Northern Ireland,NT,
111,IWM Duxford,"138,212",C,Mix,-66%,Eng excl Lon,IWM,
112,Packwood House,"135,619",F/C,Mix,-38%,Eng excl Lon,NT,
113,London Transport Museum,"135,411",C,I,-65%,London,,
114,Corfe Castle,"134,799",F/C,O,-48%,Eng excl Lon,NT,
115,Killerton,"134,037",F/C,Mix,-52%,Eng excl Lon,NT,
116,Birmingham Museum and Art Gallery,"129,803",F,I,-80%,Eng excl Lon,BMT,
117,Culzean Castle & Country Park,"128,328",C,Mix,-62%,Scotland,NTS,
118,Tintagel Castle,"125,238",C,O,-19%,Eng excl Lon,EH,
119,National War Museum Edinburgh,"124,327",C,I,-85%,Scotland,NMS,
120,Oxford Botanical Gardens and Arboretum,"122,071",F/C,O,-42%,Eng excl Lon,OUM,
121,Dunster Castle,"120,218",F/C,Mix,-42%,Eng excl Lon,NT,
122,Dover Castle,"120,184",C,Mix,-67%,Eng excl Lon,EH,d
123,Harewood House Trust,"120,066",C,Mix,-40%,Eng excl Lon,THE,
124,WWT Martin Mere,"119,824",C,O,-38%,Eng excl Lon,WWT,
125,Ulster Museum,"119,385",F,I,-76%,Northern Ireland,NMNI,
126,V&A Dundee,"116,125",F/C,I,-81%,Scotland,V&A,
127,Shakespeare's Globe,"115,204",C,Mix,-85%,London,,
128,Churchill War Rooms,"114,963",C,I,-81%,London,IWM,
129,Pitt Rivers Museum,"112,175",F,I,-76%,Eng excl Lon,OUM,
130,Royal Museums Greenwich,"111,263",F/C,I,-96%,London,,
131,International Slavery Museum,"110,647",F,I,-72%,Eng excl Lon,NML,
132,Lacock,"110,489",F/C,Mix,-48%,Eng excl Lon,NT,
133,National Science and Media Museum,"110,092",F,I,-75%,Eng excl Lon,SMG,
134,Wrest Park,"106,768",C,O,-21%,Eng excl Lon,EH,
135,Bodnant Garden,"106,728",F/C,O,-61%,Wales,NT,
136,Osborne,"105,711",C,Mix,-70%,Eng excl Lon,EH,
137,WWT London,"104,775",C,O,-45%,London,WWT,
138,Leeds Art Gallery,"104,754",F,I,-78%,Eng excl Lon,LMG,
139,The Fitzwilliam Museum,"104,326",F,I,-70%,Eng excl Lon,UoCM,
140,Trelissick,"103,750",F/C,Mix,-54%,Eng excl Lon,NT,
141,Highland Wildlife Park,"103,725",C,O,-27%,Scotland,RZSS,
142,Crathes Castle,"103,209",F/C,Mix,-33%,Scotland,NTS,
143,St Michael's Mount,"102,021",F/C,Mix,-72%,Eng excl Lon,NT,
144,Speke Hall,"99,237",F/C,Mix,-56%,Eng excl Lon,NT,
145,Walker Art Gallery,"98,485",F,I,-75%,Eng excl Lon,NML,
146,Gallery of Modern Art,"96,391",F,I,-83%,Scotland,GM,
147,Glencoe Visitor Centre,"93,547",F,O,-79%,Scotland,NTS,
148,Saltram,"93,138",F/C,Mix,-63%,Eng excl Lon,NT,
149,V&A Museum of Childhood,"90,709",F,I,-76%,London,V&A,m
150,Burns Birthplace Museum,"88,976",C,I,-66%,Scotland,NTS,
151,Tate St Ives,"87,889",F/C,I,-69%,Eng excl Lon,TATE,
152,Scottish National Portrait Gallery,"85,838",F,I,-77%,Scotland,NGS,
153,Stirling Castle,"79,000",C,Mix,-87%,Scotland,HES,
154,Museum of London (Docklands),"78,381",F,I,-76%,London,MOL,
155,Audley End House and Gardens,"74,627",C,Mix,-58%,Eng excl Lon,EH,
156,IWM North,"72,310",F,I,-70%,Eng excl Lon,IWM,
157,"1066 Battle of Hastings, Abbey and Battlefield","70,836",C,O,-48%,Eng excl Lon,EH,
158,Knole,"67,621",F/C,Mix,New,Eng excl Lon,NT,h
159,Whitby Abbey,"67,550",C,Mix,-58%,Eng excl Lon,EH,
160,"Thinktank, Birmingham Science Museum","66,484",C,I,-73%,Eng excl Lon,BMT,a
161,Kenilworth Castle and Elizabethan Garden,"65,713",C,O,-45%,Eng excl Lon,EH,
162,Shakespeare's Birthplace,"62,116",C,Mix,-85%,Eng excl Lon,SBT,
163,Holkham Hall,"61,954",C,Mix,-31%,Eng excl Lon,THE,
164,Kettle's Yard,"61,775",F,I,-73%,Eng excl Lon,UoCM,
165,Urquhart Castle,"59,295",C,Mix,-89%,Scotland,HES,
166,Canterbury Cathedral,"58,102",C,Mix,-83%,Eng excl Lon,,
167,Walmer Castle and Gardens,"57,159",C,Mix,-62%,Eng excl Lon,EH,
168,Corrieshalloch Gorge,"56,060",F,O,-62%,Scotland,NTS,
169,Kensington Palace,"55,557",C,I,-89%,London,HRP,
170,National Maritime Museum Cornwall,"55,209",F/C,I,-50%,Eng excl Lon,,
171,Ben Lomond,"54,266",F,O,10%,Scotland,NTS,
172,WWT Arundel,"54,170",C,O,-42%,Eng excl Lon,WWT,
173,Natural History Museum (Tring),"50,682",F,I,-67%,Eng excl Lon,NHM,
174,Brodie Castle,"50,641",C,Mix,-36%,Scotland,NTS,
175,WWT Washington,"50,631",C,O,-40%,Eng excl Lon,WWT,
176,"Mary Rose, The","48,111",C,I,-75%,Eng excl Lon,,
177,Locomotion,"47,539",F,I,-74%,Eng excl Lon,SMG,
178,Carisbrooke Castle,"47,323",C,O,-64%,Eng excl Lon,EH,
179,Threave Garden,"47,095",F/C,O,-61%,Scotland,NTS,
180,Eltham Palace and Gardens,"46,258",C,Mix,-66%,London,EH,
181,Balmacara Estate & Lochalsh Woodland Garden,"45,957",F,O,-30%,Scotland,NTS,
182,Sudbury Hall,"45,365",F/C,Mix,-82%,Eng excl Lon,NT,a
183,Lady Lever Art Gallery,"43,964",F,I,-79%,Eng excl Lon,NML,
184,SS Great Britain,"42,642",C,Mix,-79%,Eng excl Lon,,
185,Lanhydrock,"41,692",F/C,Mix,New,Eng excl Lon,NT,h
186,Housesteads Roman Fort - Hadrian's Wall,"41,430",C,O,-63%,Eng excl Lon,EH,
187,HMS Belfast,"41,301",C,Mix,-87%,London,IWM,a
188,Pitmedden Garden & Museum of Farm Life,"40,478",C,O,-16%,Scotland,NTS,
189,"Clifford's Tower, York","40,408",C,O,-75%,Eng excl Lon,EH,c
190,Fyvie Castle,"37,632",F/C,Mix,-43%,Scotland,NTS,
191,Carrick-a-Rede,"34,901",F/C,O,-93%,Northern Ireland,NT,a
192,Mar Lodge Estate,"34,556",F,O,-39%,Scotland,NTS,
193,Glasgow Cathedral,"33,900",F,Mix,-94%,Scotland,HES,
194,WWT Castle Espie,"33,736",C,O,-47%,Northern Ireland,WWT,
195,Museum of Archaeology and Anthropology,"33,713",F,I,-56%,Eng excl Lon,UoCM,
196,National Museum of Rural Life,"33,615",C,Mix,-70%,Scotland,NMS,
197,WWT Llanelli,"32,276",C,O,-57%,Wales,WWT,
198,Burghley House,"31,897",C,I,-70%,Eng excl Lon,THE,
199,Piermaster's House,"31,229",F,I,-65%,Eng excl Lon,NML,a
200,People's Palace,"31,187",F,I,-86%,Scotland,GM,a
201,University Museum of Zoology,"31,182",F,I,-77%,Eng excl Lon,UoCM,
202,Hermitage,"30,458",F,O,-82%,Scotland,NTS,
203,Kirkstall Abbey,"30,395",F,O,-83%,Eng excl Lon,LMG,
204,St Abb's Head,"29,863",F,O,-53%,Scotland,NTS,
205,"Monument to the Great Fire of London, The","29,485",C,Mix,-84%,London,CLC,a
206,Drum Castle,"28,414",F/C,Mix,-47%,Scotland,NTS,
207,Benmore Botanic Garden,"28,339",C,O,-47%,Scotland,RBGE,
208,Sedgwick Museum of Earth Sciences,"27,780",F,I,-83%,Eng excl Lon,UoCM,
209,Guildhall Art Gallery,"27,712",F/C,I,-78%,London,CLC,
210,Ben Lawers Visitor Centre,"27,345",F,O,6%,Scotland,NTS,
211,Ulster Folk Museum,"27,194",C,O,-80%,Northern Ireland,NMNI,n
212,National Museum of Flight,"25,159",C,Mix,-66%,Scotland,NMS,
213,History of Science Museum,"24,999",F,I,-83%,Eng excl Lon,OUM,
214,Kenwood,"24,136",F,I,-82%,Eng excl Lon,EH,
215,Abbey House Museum,"22,742",C,I,-66%,Eng excl Lon,LMG,
216,Leeds City Museum,"22,274",F,I,-92%,Eng excl Lon,LMG,
217,Dawyck Botanic Garden,"21,442",C,O,-42%,Scotland,RBGE,
218,Grey Mare's Tail,"21,292",F,O,-54%,Scotland,NTS,
219,Castle Fraser,"20,753",F/C,Mix,-63%,Scotland,NTS,
220,Ulster American Folk Park,"19,285",C,O,-83%,Northern Ireland,NMNI,
221,Ulster Transport Museum,"19,019",C,I,-83%,Northern Ireland,NMNI,n
222,Inverewe Gardens,"18,217",C,O,-76%,Scotland,NTS,
223,Leith Hall,"17,493",F/C,Mix,-7%,Scotland,NTS,
224,Logan Botanic Garden,"17,385",C,O,-40%,Scotland,RBGE,
225,The St Mungo Museum of Religious Life And Art,"16,835",F,I,-89%,Scotland,GM,a
226,WWT Welney,"16,482",C,O,-46%,Eng excl Lon,WWT,
227,Shakespeare's New Place,"16,210",C,Mix,-87%,Eng excl Lon,SBT,a
228,Doune Castle,"15,549",C,Mix,-90%,Scotland,HES,
229,Scotland Street School Museum,"15,107",F,I,-77%,Scotland,GM,a
230,Sarehole Mill,"13,229",C,Mix,-8%,Eng excl Lon,BMT,
231,Brodick Castle & Country Park,"13,114",F/C,Mix,-81%,Scotland,NTS,
232,Anne Hathaway's Cottage,"12,397",C,Mix,-92%,Eng excl Lon,SBT,a
233,Goatfell,"12,151",F,O,-50%,Scotland,NTS,
234,Linlithgow Palace,"12,128",C,Mix,-88%,Scotland,HES,
235,The Polar Museum,"11,681",F,I,-77%,Eng excl Lon,UoCM,
236,Hill House,"11,568",C,I,-63%,Scotland,NTS,
237,Hall's Croft,"10,878",C,Mix,-87%,Eng excl Lon,SBT,a
238,Greenbank Garden,"10,698",C,O,-51%,Scotland,NTS,
239,Tantallon Castle,"10,654",C,Mix,-77%,Scotland,HES,
240,Fort George,"10,443",C,Mix,-86%,Scotland,HES,
241,Provand's Lordship,"10,284",F,I,-89%,Scotland,GM,a
242,Blackness Castle,"10,212",C,Mix,-87%,Scotland,HES,
243,Pollok House,"9,800",C,I,-83%,Scotland,NTS,
244,Sudley House,"9,186",F,I,-79%,Eng excl Lon,NML,
245,Caerlaverock Castle,"9,079",C,Mix,-77%,Scotland,HES,
246,St Andrews Castle,"8,084",C,Mix,-91%,Scotland,HES,
247,WWT Caerlaverock,"7,612",C,O,-53%,Scotland,WWT,
248,Melrose Abbey,"7,536",C,Mix,-88%,Scotland,HES,
249,Newhailes,"7,383",C,Mix,-89%,Scotland,NTS,
250,Leeds Industrial Museum at Armley Mills,"7,172",C,Mix,-80%,Eng excl Lon,LMG,
251,Killiecrankie Visitor Centre,"7,134",F,O,-94%,Scotland,NTS,
252,Craigmillar Castle,"7,100",C,Mix,-83%,Scotland,HES,
253,Bannockburn Heritage Centre,"7,049",C,I,-84%,Scotland,NTS,
254,Branklyn Garden,"6,968",C,O,-51%,Scotland,NTS,
255,Craigievar Castle,"6,759",F/C,Mix,-72%,Scotland,NTS,
256,Geilston Garden,"6,756",C,O,-51%,Scotland,NTS,
257,Skara Brae,"6,642",C,Mix,-94%,Scotland,HES,
258,Aston Hall,"6,501",C,Mix,-77%,Eng excl Lon,BMT,
259,Iona,"6,429",F,O,-78%,Scotland,NTS,
260,Temple Newsam,"5,079",C,I,-81%,Eng excl Lon,LMG,
261,Dirleton Castle,"4,820",C,Mix,-85%,Scotland,HES,
262,Thwaite Watermill,"4,772",C,Mix,-79%,Eng excl Lon,LMG,
263,Falkland Palace,"4,606",C,Mix,-91%,Scotland,NTS,
264,Aberdour Castle,"4,384",C,Mix,-82%,Scotland,HES,
265,Museum of Classical Archaeology,"4,359",F,I,-67%,Eng excl Lon,UoCM,
266,Barry Mill,"4,096",C,I,-53%,Scotland,NTS,
267,Georgian House,"3,890",C,I,-88%,Scotland,NTS,
268,St Andrews Cathedral,"3,807",C,Mix,-93%,Scotland,HES,
269,Torridon Countryside Centre,"3,722",F,O,-92%,Scotland,NTS,
270,Blakesley Hall,"3,639",C,Mix,-85%,Eng excl Lon,BMT,
271,Museum of the Jewellery Quarter,"3,536",C,I,-82%,Eng excl Lon,BMT,a
272,Glasgow Museums Resource Centre,"3,445",F,I,-80%,Scotland,GM,
273,Dunblane Cathedral,"3,338",F,Mix,-80%,Scotland,HES,
274,Whipple Museum of the History of Science,"3,102",F,I,-74%,Eng excl Lon,UoCM,
275,Dunstaffnage Castle,"2,798",C,Mix,-89%,Scotland,HES,
276,Jedburgh Abbey,"2,755",C,Mix,-91%,Scotland,HES,
277,Tenement House,"2,632",C,I,-89%,Scotland,NTS,
278,Huntly Castle,"2,609",C,Mix,-81%,Scotland,HES,
279,Elgin Cathedral,"2,555",C,Mix,-93%,Scotland,HES,
280,Dryburgh Abbey,"2,525",C,Mix,-87%,Scotland,HES,
281,Keats House,"2,328",F/C,I,-80%,London,CLC,g
282,Dumbarton Castle,"2,260",C,Mix,-92%,Scotland,HES,
283,Soho House,"1,996",C,Mix,-81%,Eng excl Lon,BMT,a
284,Dunfermline Abbey,"1,987",C,Mix,-91%,Scotland,HES,
285,Inchcolm Abbey,"1,912",C,Mix,-90%,Scotland,HES,
286,Inveresk Lodge Garden,"1,609",C,O,-47%,Scotland,NTS,
287,Leeds Discovery Centre,"1,474",F,I,-75%,Eng excl Lon,LMG,i
288,Malleny Garden,"1,361",C,O,-69%,Scotland,NTS,
289,Broughton House & Garden,"1,111",C,Mix,-94%,Scotland,NTS,
290,Kintail Estate,"1,097",F,O,-91%,Scotland,NTS,
291,Weoley Castle,892,F,O,-89%,Eng excl Lon,BMT,
292,Haddo House,758,F/C,Mix,-97%,Scotland,NTS,
293,Alloa Tower,723,C,I,-89%,Scotland,NTS,
294,Preston Mill & Phantassie Doocot,601,C,O,-77%,Scotland,NTS,
295,Mary Arden's Farm,597,C,Mix,-99%,Eng excl Lon,SBT,a
