Rank,Site,Total visits,Charge /free,% +/-,Group,Note
154,Lady Lever Art Gallery,"201,970",F,4%,NML,
155,WildPlace Project,"192,306",F/C,0.90%,BZS,
156,Locomotion,"185,107",F,-5.60%,SMG,
157,WWT London,"178,276",C,-7%,WWT,
158,Carlisle Castle,"177,247",F/C,285.40%,EH,p
159,History of Science Museum,"176,757",F,-8%,OUM,
160,Audley End House and Gardens,"170,042",C,-5.10%,EH,
161,The Monument to the Great Fire of London,"169,566",C,-12%,CLC,
162,Sedgwick Museum of Earth Sciences,"157,690",F,3%,UoCM,
163,"Clifford's Tower, York","154,701",C,0.40%,EH,
164,NHM (Tring),"150,580",F,5%,NHM,
165,Whitby Abbey,"147,566",C,-11.30%,EH,
166,Ulster Folk & Transport Museum,"146,425",C,-13%,NMNI,
167,Anne Hathaway's Cottage,"144,516",C,4%,SBT,
168,The St Mungo Museum of Religious Life And Art,"144,361",F,-7.76%,GM,
169,University of Oxford Botanic garden,"142,440",F/C,-1%,OUM,
170,Doune Castle,"142,091",C,14%,HES,
171,Kenwood,"131,126",F,-8.60%,EH,
172,Wrest Park,"128,980",C,-5.90%,EH,
173,Crathes Castle,"127,695",F/C,4.80%,NTS,
174,Carisbrooke Castle,"125,664",C,-0.70%,EH,
175,University Museum of Zoology,"124,649",F,%,UoCM,q
176,"1066 Battle of Hastings, Abbey and Battlefield","123,870",C,0.50%,EH,
177,Ulster American Folk Park,"117,076",C,-8%,NMNI,
178,Guildhall Art Gallery,"116,616",F/C,24%,CLC,
179,Skara Brae,"111,921",C,2%,HES,
180,Eltham Palace and Gardens,"110,034",C,0.50%,EH,
181,Kenilworth Castle,"110,012",C,-6.80%,EH,
182,Housesteads Roman Fort,"109,675",C,0.90%,EH,
183,Shakespeare's New Place,"109,452",C,-22%,SBT,
184,Walmer Castle and Gardens,"103,905",C,-4.70%,EH,
185,National Museum of Rural Life,"100,241",C,-4%,NMS,
186,Threave Garden,"96,357",F/C,1.50%,NTS,
187,Linlithgow Palace,"94,718",C,9%,HES,
188,St Andrews Castle,"91,302",C,1%,HES,
189,WWT Arundel,"90,947",C,-9%,WWT,
190,Provand's Lordship,"89,416",F,-3.27%,GM,
191,Museum of Archaeology and Anthropology,"81,854",F,26%,UoCM,
192,Inverewe Gardens,"80,913",F/C,-57.80%,NTS,
193,National Museum of Flight,"79,573",C,0%,NMS,
194,Mary Arden's Farm,"79,349",C,4%,SBT,
195,Hall's Croft,"77,750",C,-18%,SBT,
196,WWT Washington,"73,556",C,-10%,WWT,
197,WWT Llanelli,"72,155",C,3%,WWT,
198,Fort George,"71,906",C,-5%,HES,
199,Newhailes,"68,360",F/C,1168.70%,NTS,r
200,Iona Abbey,"64,183",C,-3%,HES,
201,Scotland Street School Museum,"62,096",F,21.60%,GM,s
202,WWT Castle Espie,"59,348",C,-18%,WWT,
203,Blackness Castle,"58,388",C,36%,HES,
204,Melrose Abbey,"58,286",C,-1%,HES,
205,Pollok House,"57,172",F/C,5.10%,NTS,
206,St Andrews Cathedral,"56,249",C,-4%,HES,
207,Fyvie Castle,"56,158",F/C,-0.20%,NTS,
208,Drum Castle,"50,421",F/C,8.30%,NTS,
209,Benmore Botanic Garden,"48,859",C,-3%,RBGE,
210,The Polar Museum,"48,144",F,-8%,UoCM,
211,Falkland Palace,"46,475",P,-8.40%,NTS,
212,Bannockburn,"45,208",P,-18.30%,NTS,
213,Tantallon Castle,"43,170",C,-14%,HES,
214,Pitmedden Garden,"41,694",F/C,-3.10%,NTS,
215,Pitmedden Garden & Museum,"41,694",F/C,-3.10%,NTS,
216,Brodick Castle & Country Park,"39,708",F/C,-10.40%,NTS,
217,Elgin Cathedral,"39,398",C,3%,HES,
218,Sudley House,"36,315",F,-19%,NML,
219,Dawyck Botanic Garden,"35,622",C,-1%,RBGE,
220,Craigmillar Castle,"35,442",C,13%,HES,
221,Caerlaverock Castle,"35,305",C,-8%,HES,
222,Georgian House,"33,450",C,-11.30%,NTS,
223,Aston Hall,"32,432",C,27%,BMT,t
224,Dirleton Castle,"29,764",C,-2%,HES,
225,WWT Welney,"29,372",C,-21%,WWT,
226,Dumbarton Castle,"28,546",C,6%,HES,
227,Maeshowe,"28,414",C,11%,HES,
228,Logan Botanic Garden,"25,186",C,2%,RBGE,
229,Ben Lawers Visitor Centre,"24,728",F,-12.30%,NTS,
230,Culross Palace,"24,445",C,52.60%,NTS,
231,Museum of the Jewellery Quarter,"21,646",C,-20%,BMT,u
232,Craigievar Castle,"19,702",F/C,15.60%,NTS,
233,Leith Hall,"19,332",F/C,-1.80%,NTS,
234,Blakesley Hall,"18,451",C,-8%,BMT,
235,Sarehole Mill,"17,909",C,-23%,BMT,v
236,Glasgow Museum Resource Centre,"17,441",F,12.99%,GM,w
237,Tenement House,"17,053",C,-5.30%,NTS,
238,Kellie Castle,"17,003",C,5.80%,NTS,
239,Broughton House & Garden,"16,843",C,8.20%,NTS,
240,Greenbank Garden,"16,327",C,2.40%,NTS,
241,Museum of Classical Archaeology,"14,773",F,1%,UoCM,
242,WWT Caerlaverock,"13,913",C,-26%,WWT,
243,Hill House,"12,150",C,-57.40%,NTS,
244,Geilston Garden,"12,110",C,17%,NTS,
245,Gladstones Land,"11,670",C,-3.20%,NTS,
246,Whipple Museum of the History of Science,"11,018",F,%,UoCM,
247,Soho House,"8,553",C,-10%,BMT,
248,Weoley Castle,"8,282",F,3%,BMT,
249,Museum Collection Centre,"1,742",F/C,110%,BMT,
